,cv_score,sample_type,score,fold
0,0.585546875,standard,accuracy,0
1,0.5777310924369747,standard,accuracy,1
2,0.5952586206896552,standard,accuracy,2
3,0.6900862068965518,standard,accuracy,3
0,0.564850221387288,standard,f1,0
1,0.5697521081161805,standard,f1,1
2,0.5966699899793539,standard,f1,2
3,0.658715031954314,standard,f1,3
0,0.883131008500428,standard,roc_auc,0
1,0.8963500513067179,standard,roc_auc,1
2,0.9003951242539026,standard,roc_auc,2
3,0.9231421074380167,standard,roc_auc,3
0,0.5442996201714995,standard,mcc,0
1,0.5357541505120881,standard,mcc,1
2,0.5520820858748339,standard,mcc,2
3,0.6554948440535739,standard,mcc,3
0,0.7333333333333333,majority,accuracy,0
1,0.8666666666666667,majority,accuracy,1
2,0.9333333333333333,majority,accuracy,2
3,0.8,majority,accuracy,3
0,0.6566666666666666,majority,f1,0
1,0.8133333333333332,majority,f1,1
2,0.8800000000000001,majority,f1,2
3,0.8333333333333333,majority,f1,3
0,0.9805555555555555,majority,roc_auc,0
1,1.0,majority,roc_auc,1
2,0.9833333333333333,majority,roc_auc,2
3,0.9777777777777777,majority,roc_auc,3
0,0.7114914586232078,majority,mcc,0
1,0.8586296628693791,majority,mcc,1
2,0.9293403409880339,majority,mcc,2
3,0.7868932779785548,majority,mcc,3
