,0
0,curvature_head_abs_10th
1,curvature_head_w_backward_abs_10th
2,curvature_head_w_backward_abs_50th
3,curvature_mean_head_w_backward_abs_10th
4,curvature_mean_head_w_backward_abs_50th
5,curvature_mean_neck_w_forward_abs_50th
6,curvature_mean_tail_abs_10th
7,curvature_mean_tail_abs_50th
8,curvature_mean_tail_w_backward_abs_50th
9,curvature_mean_tail_w_backward_abs_90th
10,curvature_mean_tail_w_forward_abs_50th
11,curvature_std_head_abs_10th
12,curvature_std_head_abs_50th
13,curvature_std_hips_w_forward_abs_50th
14,curvature_tail_abs_10th
15,curvature_tail_abs_50th
16,curvature_tail_w_backward_abs_50th
17,curvature_tail_w_backward_abs_90th
18,curvature_tail_w_forward_abs_50th
19,width_head_base_norm_10th
